EH_ID,Body_length,labels,Exp_ID,Neubauer1,Neubauer2,Neubauer3,Neubauer4,oocyst_mean,dilution_ml,OPG,dpi,weight,weight_dpi0,weightloss,fecweight,Eimeria,X,X.1,X.2,X.3,X.4,Locality,Genome,Mouse_strain,IDD,Dam,Gen,Sir,IDS,Sir.1,Gen.1,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen.2,Wean,BW10,BW20,Clip,Departure,NOTE,Parent1,Parent2,HybridStatus,ageAtdpi0expe1a,Batch,InfectionStrain,Infection_date,ageAtInfection,Mouse_subspecies,Full_info_mouse,infection_isolate,Eimeria_species,mean_Neubauer,oocysts.per.tube,startingWeight,relativeWeight
LM0179,,ACD,Exp_005_1a,0,0,0,0,NA,1,0,0,18.93,18.93,0,2.31,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727,F, F1 , 1F ,4.73,8.44, P3 ,NA,NA, PWD , BUSNA ,outbred,15.4285714285714,1, E88 ,2018-07-09 CET,15.422619047619,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,0,0,18.93,100
LM0179,,MQS,Exp_005_1a,NA,NA,NA,NA,NA,1,NA,1,19.79,18.93,-0.859999999999999,0,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727,F, F1 , 1F ,4.73,8.44, P3 ,NA,NA, PWD , BUSNA ,outbred,15.4285714285714,1, E88 ,2018-07-09 CET,15.422619047619,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,NA,NA,18.93,104.543053354464
LM0179,,HUY,Exp_005_1a,NA,NA,NA,NA,NA,1,NA,2,19.44,18.93,-0.510000000000002,0,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727,F, F1 , 1F ,4.73,8.44, P3 ,NA,NA, PWD , BUSNA ,outbred,15.4285714285714,1, E88 ,2018-07-09 CET,15.422619047619,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,NA,NA,18.93,102.694136291601
LM0179,,HKT,Exp_005_1a,NA,NA,NA,NA,NA,1,NA,3,19.03,18.93,-0.100000000000001,0,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727,F, F1 , 1F ,4.73,8.44, P3 ,NA,NA, PWD , BUSNA ,outbred,15.4285714285714,1, E88 ,2018-07-09 CET,15.422619047619,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,NA,NA,18.93,100.528262017961
LM0179,,ELN,Exp_005_1a,0,0,0,0,NA,1,0,4,19.45,18.93,-0.52,1.71,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727,F, F1 , 1F ,4.73,8.44, P3 ,NA,NA, PWD , BUSNA ,outbred,15.4285714285714,1, E88 ,2018-07-09 CET,15.422619047619,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,0,0,18.93,102.746962493397
LM0179,,VXY,Exp_005_1a,0,0,0,0,NA,1,0,5,19.22,18.93,-0.289999999999999,1.9,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727,F, F1 , 1F ,4.73,8.44, P3 ,NA,NA, PWD , BUSNA ,outbred,15.4285714285714,1, E88 ,2018-07-09 CET,15.422619047619,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,0,0,18.93,101.531959852087
LM0179,,RVX,Exp_005_1a,0,0,0,0,NA,1,0,6,19.34,18.93,-0.41,0.85,E88,soft feces,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727,F, F1 , 1F ,4.73,8.44, P3 ,NA,NA, PWD , BUSNA ,outbred,15.4285714285714,1, E88 ,2018-07-09 CET,15.422619047619,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,0,0,18.93,102.16587427364
LM0179,,BEJ,Exp_005_1a,5,5,8,13,NA,1,104729.72972973,7,18.41,18.93,0.52,0.74,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727,F, F1 , 1F ,4.73,8.44, P3 ,NA,NA, PWD , BUSNA ,outbred,15.4285714285714,1, E88 ,2018-07-09 CET,15.422619047619,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,7.75,77500,18.93,97.2530375066033
LM0179,,OQZ,Exp_005_1a,25,21,34,23,NA,1,1119565.2173913,8,17.87,18.93,1.06,0.23,E88,diarrhea,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727,F, F1 , 1F ,4.73,8.44, P3 ,NA,NA, PWD , BUSNA ,outbred,15.4285714285714,1, E88 ,2018-07-09 CET,15.422619047619,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,25.75,257500,18.93,94.4004226096144
LM0179,,GTY,Exp_005_1a,43,37,56,49,NA,1,906862.745098039,9,17.62,18.93,1.31,0.51,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727,F, F1 , 1F ,4.73,8.44, P3 ,NA,NA, PWD , BUSNA ,outbred,15.4285714285714,1, E88 ,2018-07-09 CET,15.422619047619,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,46.25,462500,18.93,93.0797675647121
