lat,lon,order
53.897825,11.450459,1
53.775555,11.487651,2
53.621836,12.117017,3
53.465205,12.62056,4
53.181041,13.140009,5
52.90425,13.64536,6
52.764975,13.80584,7
52.274546,13.896436,8
51.854431,13.844872,9
51.482235,13.428199,10
51.252599,12.863909,11
50.961277,12.768149,12
50.860257,12.85462,13
50.455946,12.911867,14
50.403299,12.572204,15
50.298287,12.517278,16
50.181835,12.487914,17
50.158967,12.408724,18
50.115302,12.395617,19
50.067046,12.389061,20
50.015183,12.399012,21
49.972074,12.498669,22
49.949371,12.518604,23
49.922995,12.543381,24
49.909597,12.554802,25
49.788431,12.471231,26
49.686428,12.520042,27
49.685814,12.522197,28
49.538585,12.591989,29
49.429245,12.671372,30
49.269451,12.524494,31
49.129656,12.420984,32
49.010801,12.186482,33
48.878861,11.970669,34
48.710595,11.802575,35
48.459895,11.706766,36
48.303687,11.700274,37
48.140872,11.596965,38
48.021513,11.500288,39
47.875676,11.849148,40
47.834887,12.084803,41
