"Mouse_ID","Sex","Longitude","Latitude","Year","farm","Status","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Aspiculuris_Syphacia","Hymenolepis","Taenia","Trichuris","Heterakis","Mastophorus","Body_weight","Body_length","Tail_length","Capture","delta_ct_ilwe_MminusE","delta_ct_cewe_MminusE","eimeriaSpecies","UsedForMap","UsedForEimeriaRes","UsedForPinwormsRes","UsedForEimeriaImpactHealth","UsedForPinwormsImpactHealth"
"AA_0047","M",13.676085,52.497666,2016,66,"adult","d","m","m","m","m","m","m","m","dm","dd","dm","dm","dm","mm",14,0.65,4,0,0,0,0,0,18.3,78,83,"2016-09-23",-6.64,-9.3,"no sp. identified","yes","yes","yes","yes","yes"
"AA_0048","F",13.676085,52.497666,2016,66,"adult","d",NA,"mm","mm","mm","mm","mm","mm","mm","dm","dd","dd","dm","mm",13,0.72,1,0,0,0,0,0,19.825,88,92,"2016-09-23",-10.2533333333,-9.5633333333,"no sp. identified","yes","yes","yes","yes","yes"
"AA_0049","M",13.676085,52.497666,2016,66,"adult","d","m","m","m","m","m","m","m","mm","dm","dm","mm","mm","mm",14,0.85,4,0,0,0,3,0,18.53,83,79,"2016-09-23",-10.5766666667,-10.4533333333,"no sp. identified","yes","yes","yes","yes","yes"
"AA_0050","M",13.676085,52.497666,2016,66,"adult","d","m","m","m","m","m","m","m","dm","dd","dm","mm","dm","mm",14,0.7,15,0,0,0,0,0,17.634,82,78,"2016-09-23",-11.0466666667,-10.22,"no sp. identified","yes","yes","yes","yes","yes"
"AA_0051","F",13.9289,52.5028,2016,104,"adult","d",NA,"mm","mm","mm","dd","mm","mm","mm","mm","dm","mm","dd","mm",13,0.76,8,0,0,0,0,0,14.226,76,69,"2016-09-23",-9.56,-9.6133333333,"no sp. identified","yes","yes","yes","yes","yes"
"AA_0052","M",13.9289,52.5028,2016,104,"adult","d","m",NA,"m","d","d","d","m","mm","mm","dm","mm","dm","dd",13,0.578947368,4,0,0,0,0,0,17.039,83,79,"2016-09-23",-9.9466666667,-10.19,"no sp. identified","yes","yes","yes","yes","yes"
"AA_0053","F",13.9289,52.5028,2016,104,"adult","d",NA,"mm","mm","dd","dd","mm",NA,"mm","dd","dm","mm","dm","mm",12,0.608695652,338,0,1,0,12,0,20.184,85,78,"2016-09-23",-8.7433333333,-0.27,"E_ferrisi","yes","yes","yes","yes","yes"
"AA_0054","F",13.9289,52.5028,2016,104,"adult",NA,NA,"mm","mm","dd","dd","mm","mm","mm","mm","dd","mm","dm","mm",12,0.708333333,26,0,0,0,8,0,13.833,69,72,"2016-09-23",-1.5566666667,-7.1366666667,"E_vermiformis","yes","yes","yes","yes","yes"
"AA_0055","M",13.3064,52.91,2016,20,"adult","d","d","d","d","d","d","d","d","dd","dd","dd","dd","dd","dd",14,0,0,0,0,0,0,0,15.181,80,89,"2016-09-23",-8.6033333333,-9.0233333333,"no sp. identified","yes","yes","yes","yes","yes"
"AA_0056","F",13.3064,52.91,2016,20,"adult","d",NA,"dd","dd","dd","dd","dd","dd","dd","dd","dd","dd","mm","dd",13,0.08,8,0,0,0,0,0,8.751,62,80,"2016-09-23",-8.0766666667,-9.2466666667,"no sp. identified","yes","yes","yes","yes","yes"
