"dpi_max.OPG","EH_ID","infection_isolate","labels","Exp_ID"
10,"LM0255","Brandenburg88 (E. falciformis)","DGJ","Exp_005_2a"
11,"LM0249","Brandenburg88 (E. falciformis)","AIP","Exp_005_2a"
4,"LM0244","Brandenburg88 (E. falciformis)","HJW","Exp_005_2a"
5,"LM0141","Brandenburg139 (E. ferrisi)","BY","Exp_003"
5,"LM0144","Brandenburg64 (E. ferrisi)","LW","Exp_003"
5,"LM0146","Brandenburg139 (E. ferrisi)","PQY","Exp_004"
5,"LM0165","Brandenburg139 (E. ferrisi)","FPV","Exp_004"
5,"LM0172","Brandenburg139 (E. ferrisi)","COQ","Exp_004"
5,"LM0175","Brandenburg64 (E. ferrisi)","AJY","Exp_004"
5,"LM0176","Brandenburg139 (E. ferrisi)","BVX","Exp_004"
5,"LM0230","Brandenburg88 (E. falciformis)","FJN","Exp_005_2a"
5,"LM0258","Brandenburg64 (E. ferrisi)","ILP","Exp_005_2b"
5,"LM0259","Brandenburg64 (E. ferrisi)","BUW","Exp_005_2b"
5,"LM0260","Brandenburg64 (E. ferrisi)","GUZ","Exp_005_2b"
5,"LM0262","Brandenburg64 (E. ferrisi)","PSW","Exp_005_2b"
6,"LM0124","Brandenburg64 (E. ferrisi)","IK","Exp_003"
6,"LM0125","Brandenburg64 (E. ferrisi)","SY","Exp_003"
6,"LM0126","Brandenburg139 (E. ferrisi)","GU","Exp_003"
6,"LM0130","Brandenburg139 (E. ferrisi)","EQ","Exp_003"
6,"LM0133","Brandenburg64 (E. ferrisi)","AU","Exp_003"
6,"LM0135","Brandenburg64 (E. ferrisi)","FL","Exp_003"
6,"LM0136","Brandenburg64 (E. ferrisi)","FS","Exp_003"
6,"LM0137","Brandenburg139 (E. ferrisi)","NQ","Exp_003"
6,"LM0138","Brandenburg139 (E. ferrisi)","UW","Exp_003"
6,"LM0142","Brandenburg64 (E. ferrisi)","CX","Exp_003"
6,"LM0143","Brandenburg64 (E. ferrisi)","YZ","Exp_003"
6,"LM0147","Brandenburg64 (E. ferrisi)","HJN","Exp_004"
6,"LM0148","Brandenburg64 (E. ferrisi)","HNW","Exp_004"
6,"LM0149","Brandenburg64 (E. ferrisi)","MVZ","Exp_004"
6,"LM0150","Brandenburg139 (E. ferrisi)","AJO","Exp_004"
6,"LM0151","Brandenburg64 (E. ferrisi)","ABM","Exp_004"
6,"LM0152","Brandenburg64 (E. ferrisi)","IMP","Exp_004"
6,"LM0154","Brandenburg139 (E. ferrisi)","IXZ","Exp_004"
6,"LM0156","Brandenburg139 (E. ferrisi)","GTW","Exp_004"
6,"LM0157","Brandenburg139 (E. ferrisi)","EQV","Exp_004"
6,"LM0158","Brandenburg64 (E. ferrisi)","DNY","Exp_004"
6,"LM0159","Brandenburg139 (E. ferrisi)","EQT","Exp_004"
6,"LM0161","Brandenburg64 (E. ferrisi)","CQR","Exp_004"
6,"LM0162","Brandenburg64 (E. ferrisi)","JRT","Exp_004"
6,"LM0163","Brandenburg64 (E. ferrisi)","CTY","Exp_004"
6,"LM0166","Brandenburg139 (E. ferrisi)","ASZ","Exp_004"
