,,Brandenburg139 (E. ferrisi),,,,Brandenburg64 (E. ferrisi),,,,Brandenburg88 (E. falciformis),,,
,,SCHUNT (Mmd),STRA (Mmd),BUSNA (Mmm),PWD (Mmm),SCHUNT (Mmd),STRA (Mmd),BUSNA (Mmm),PWD (Mmm),SCHUNT (Mmd),STRA (Mmd),BUSNA (Mmm),PWD (Mmm)
,,,,,,,,,,,,,
Brandenburg139 (E. ferrisi),SCHUNT (Mmd),,,,,,,,,,,,
,STRA (Mmd),,,,,,,,,,,,
,BUSNA (Mmm),,,,,,,,,,,,
,PWD (Mmm),,,,,,,,,,,,
Brandenburg64 (E. ferrisi),SCHUNT (Mmd),,,,,,,,,,,,
,STRA (Mmd),,,,,,,,,,,,
,BUSNA (Mmm),,,,,,,,,,,,
,PWD (Mmm),,,,,,,,,,,,
Brandenburg88 (E. falciformis),SCHUNT (Mmd),,,,,,,,,,,,
,STRA (Mmd),,,,,,,,,,,,
,BUSNA (Mmm),,,,,,,,,,,,
,PWD (Mmm),,,,,,,,,,,,
