"group","pvalue","N","S","rho","Mouse_genotype","predicted","std.error","conf.low","conf.high","infection_isolate"
"MMd_F0 (Sc-Sc)Brandenburg139 (E. ferrisi)",0.95,4,18,0.1,"MMd_F0 (Sc-Sc)",0.09,0.0523767259597679,-0.0120871352212831,0.193225857797255,"Brandenburg139 (E. ferrisi)"
"MMd_F0 (St-St)Brandenburg139 (E. ferrisi)",0.895,3,8.95,0.11,"MMd_F0 (St-St)",0.14,0.0424241402434183,0.0564286225810678,0.22272819648542,"Brandenburg139 (E. ferrisi)"
"MMm_F0 (Bu-Bu)Brandenburg139 (E. ferrisi)",0.083,4,2,0.9,"MMm_F0 (Bu-Bu)",0.09,0.0711802600748336,-0.0541462812848439,0.224875211028892,"Brandenburg139 (E. ferrisi)"
"MMm_F0 (Pw-Pw)Brandenburg139 (E. ferrisi)",0.333,3,2,0.8,"MMm_F0 (Pw-Pw)",0.03,0.0383113840180057,-0.0403562070938081,0.109821658652541,"Brandenburg139 (E. ferrisi)"
"MMd_F0 (Sc-Sc)Brandenburg64 (E. ferrisi)",0.254,10,137.24,0.38,"MMd_F0 (Sc-Sc)",0.05,0.0292379131155583,-0.0073409548381431,0.107269558541068,"Brandenburg64 (E. ferrisi)"
"MMd_F0 (St-St)Brandenburg64 (E. ferrisi)",0.267,10,139.26,0.37,"MMd_F0 (St-St)",0.04,0.0221237975685892,-0.00100725398411212,0.0857164388872672,"Brandenburg64 (E. ferrisi)"
"MMm_F0 (Bu-Bu)Brandenburg64 (E. ferrisi)",0.056,10,88,0.6,"MMm_F0 (Bu-Bu)",0.04,0.0113384444439665,0.0162033223554213,0.0606492078571864,"Brandenburg64 (E. ferrisi)"
"MMm_F0 (Pw-Pw)Brandenburg64 (E. ferrisi)",0.086,8,46,0.62,"MMm_F0 (Pw-Pw)",0.05,0.0104726085702122,0.0329381078165567,0.0739899790601596,"Brandenburg64 (E. ferrisi)"
"MMd_F0 (Sc-Sc)Brandenburg88 (E. falciformis)",0.089,4,3.58,0.82,"MMd_F0 (Sc-Sc)",0.14,0.0357173059310089,0.0741611293120014,0.214170395811154,"Brandenburg88 (E. falciformis)"
"MMd_F0 (St-St)Brandenburg88 (E. falciformis)",0.04,7,22.63,0.73,"MMd_F0 (St-St)",0.03,0.00962560156884349,0.00828885325561435,0.0460205180645453,"Brandenburg88 (E. falciformis)"
"MMm_F0 (Bu-Bu)Brandenburg88 (E. falciformis)",1,2,2,0.5,"MMm_F0 (Bu-Bu)",0.09,0.0255714942085673,0.0356646357465818,0.135903051105915,"Brandenburg88 (E. falciformis)"
"MMm_F0 (Pw-Pw)Brandenburg88 (E. falciformis)",0.333,3,2,0.8,"MMm_F0 (Pw-Pw)",0.32,0.0612688414767307,0.203564057147058,0.44373350248483,"Brandenburg88 (E. falciformis)"
