"","Brandenburg139 (E. ferrisi).MMd_F0 (Sc-Sc)","Brandenburg64 (E. ferrisi).MMd_F0 (Sc-Sc)","Brandenburg88 (E. falciformis).MMd_F0 (Sc-Sc)","Brandenburg139 (E. ferrisi).MMd_F0 (St-St)","Brandenburg64 (E. ferrisi).MMd_F0 (St-St)","Brandenburg88 (E. falciformis).MMd_F0 (St-St)","Brandenburg139 (E. ferrisi).MMm_F0 (Bu-Bu)","Brandenburg64 (E. ferrisi).MMm_F0 (Bu-Bu)","Brandenburg88 (E. falciformis).MMm_F0 (Bu-Bu)","Brandenburg139 (E. ferrisi).MMm_F0 (Pw-Pw)","Brandenburg64 (E. ferrisi).MMm_F0 (Pw-Pw)","Brandenburg88 (E. falciformis).MMm_F0 (Pw-Pw)"
"Brandenburg139 (E. ferrisi).MMd_F0 (Sc-Sc)","","est:-0.36,
Std.Error:0.27","est:0.36,
Std.Error:0.32","est:0.23,
Std.Error:0.33","est:-0.58,
Std.Error:0.27","est:-0.14,
Std.Error:0.31","est:-0.22,
Std.Error:0.32","est:-0.06,
Std.Error:0.27","est:0.73,
Std.Error:0.31","est:0.06,
Std.Error:0.32","est:0.19,
Std.Error:0.27","est:0.81,
Std.Error:0.31"
"Brandenburg64 (E. ferrisi).MMd_F0 (Sc-Sc)","z value:-1.32,
Pr(>|z|):0.98","","est:0.72,
Std.Error:0.28","est:0.59,
Std.Error:0.29","est:-0.23,
Std.Error:0.22","est:0.22,
Std.Error:0.27","est:0.13,
Std.Error:0.28","est:0.29,
Std.Error:0.22","est:1.09,
Std.Error:0.27","est:0.41,
Std.Error:0.28","est:0.55,
Std.Error:0.22","est:1.17,
Std.Error:0.27"
"Brandenburg88 (E. falciformis).MMd_F0 (Sc-Sc)","z value:1.12,
Pr(>|z|):0.99","z value:2.53,
Pr(>|z|):0.31","","est:-0.13,
Std.Error:0.34","est:-0.95,
Std.Error:0.28","est:-0.5,
Std.Error:0.32","est:-0.59,
Std.Error:0.34","est:-0.43,
Std.Error:0.28","est:0.37,
Std.Error:0.32","est:-0.31,
Std.Error:0.34","est:-0.17,
Std.Error:0.29","est:0.45,
Std.Error:0.32"
"Brandenburg139 (E. ferrisi).MMd_F0 (St-St)","z value:0.69,
Pr(>|z|):1","z value:2.04,
Pr(>|z|):0.65","z value:-0.4,
Pr(>|z|):1","","est:-0.81,
Std.Error:0.28","est:-0.36,
Std.Error:0.33","est:-0.45,
Std.Error:0.34","est:-0.29,
Std.Error:0.29","est:0.5,
Std.Error:0.33","est:-0.17,
Std.Error:0.34","est:-0.04,
Std.Error:0.29","est:0.58,
Std.Error:0.33"
"Brandenburg64 (E. ferrisi).MMd_F0 (St-St)","z value:-2.18,
Pr(>|z|):0.56","z value:-1.04,
Pr(>|z|):1","z value:-3.36,
Pr(>|z|):0.04","z value:-2.87,
Pr(>|z|):0.15","","est:0.45,
Std.Error:0.27","est:0.36,
Std.Error:0.28","est:0.52,
Std.Error:0.22","est:1.32,
Std.Error:0.27","est:0.64,
Std.Error:0.28","est:0.77,
Std.Error:0.22","est:1.39,
Std.Error:0.27"
"Brandenburg88 (E. falciformis).MMd_F0 (St-St)","z value:-0.44,
Pr(>|z|):1","z value:0.82,
Pr(>|z|):1","z value:-1.54,
Pr(>|z|):0.93","z value:-1.12,
Pr(>|z|):0.99","z value:1.67,
Pr(>|z|):0.88","","est:-0.09,
Std.Error:0.32","est:0.07,
Std.Error:0.27","est:0.87,
Std.Error:0.31","est:0.19,
Std.Error:0.32","est:0.33,
Std.Error:0.27","est:0.95,
Std.Error:0.31"
"Brandenburg139 (E. ferrisi).MMm_F0 (Bu-Bu)","z value:-0.69,
Pr(>|z|):1","z value:0.47,
Pr(>|z|):1","z value:-1.74,
Pr(>|z|):0.84","z value:-1.33,
Pr(>|z|):0.97","z value:1.28,
Pr(>|z|):0.98","z value:-0.27,
Pr(>|z|):1","","est:0.16,
Std.Error:0.28","est:0.96,
Std.Error:0.32","est:0.28,
Std.Error:0.34","est:0.41,
Std.Error:0.29","est:1.03,
Std.Error:0.32"
"Brandenburg64 (E. ferrisi).MMm_F0 (Bu-Bu)","z value:-0.24,
Pr(>|z|):1","z value:1.33,
Pr(>|z|):0.97","z value:-1.5,
Pr(>|z|):0.94","z value:-1.02,
Pr(>|z|):1","z value:2.39,
Pr(>|z|):0.4","z value:0.27,
Pr(>|z|):1","z value:0.56,
Pr(>|z|):1","","est:0.8,
Std.Error:0.27","est:0.12,
Std.Error:0.28","est:0.26,
Std.Error:0.22","est:0.88,
Std.Error:0.27"
"Brandenburg88 (E. falciformis).MMm_F0 (Bu-Bu)","z value:2.35,
Pr(>|z|):0.43","z value:4.03,
Pr(>|z|):< 0.01","z value:1.14,
Pr(>|z|):0.99","z value:1.54,
Pr(>|z|):0.93","z value:4.91,
Pr(>|z|):< 0.001","z value:2.79,
Pr(>|z|):0.18","z value:2.95,
Pr(>|z|):0.12","z value:2.95,
Pr(>|z|):0.12","","est:-0.68,
Std.Error:0.32","est:-0.54,
Std.Error:0.27","est:0.08,
Std.Error:0.31"
"Brandenburg139 (E. ferrisi).MMm_F0 (Pw-Pw)","z value:0.17,
Pr(>|z|):1","z value:1.45,
Pr(>|z|):0.95","z value:-0.91,
Pr(>|z|):1","z value:-0.51,
Pr(>|z|):1","z value:2.27,
Pr(>|z|):0.49","z value:0.59,
Pr(>|z|):1","z value:0.83,
Pr(>|z|):1","z value:0.43,
Pr(>|z|):1","z value:-2.08,
Pr(>|z|):0.63","","est:0.13,
Std.Error:0.29","est:0.75,
Std.Error:0.32"
