"","Brandenburg139 (E. ferrisi).MMd_F0 (Sc-Sc)","Brandenburg64 (E. ferrisi).MMd_F0 (Sc-Sc)","Brandenburg88 (E. falciformis).MMd_F0 (Sc-Sc)","Brandenburg139 (E. ferrisi).MMd_F0 (St-St)","Brandenburg64 (E. ferrisi).MMd_F0 (St-St)","Brandenburg88 (E. falciformis).MMd_F0 (St-St)","Brandenburg139 (E. ferrisi).MMm_F0 (Bu-Bu)","Brandenburg64 (E. ferrisi).MMm_F0 (Bu-Bu)","Brandenburg88 (E. falciformis).MMm_F0 (Bu-Bu)","Brandenburg139 (E. ferrisi).MMm_F0 (Pw-Pw)","Brandenburg64 (E. ferrisi).MMm_F0 (Pw-Pw)","Brandenburg88 (E. falciformis).MMm_F0 (Pw-Pw)"
"Brandenburg139 (E. ferrisi).MMd_F0 (Sc-Sc)","","est:-0.33, Std.Error:0.28","est:0.63, Std.Error:0.34","est:0.75, Std.Error:0.37","est:-0.33, Std.Error:0.28","est:0, Std.Error:0.3","est:-0.53, Std.Error:0.34","est:0.14, Std.Error:0.28","est:0.85, Std.Error:0.3","est:-0.33, Std.Error:0.37","est:0.47, Std.Error:0.29","est:0.86, Std.Error:0.31"
"Brandenburg64 (E. ferrisi).MMd_F0 (Sc-Sc)","z value:-1.19, Pr(>|z|):0.99","","est:0.96, Std.Error:0.3","est:1.08, Std.Error:0.33","est:0, Std.Error:0.23","est:0.33, Std.Error:0.25","est:-0.2, Std.Error:0.3","est:0.47, Std.Error:0.23","est:1.18, Std.Error:0.25","est:0, Std.Error:0.33","est:0.8, Std.Error:0.24","est:1.19, Std.Error:0.26"
"Brandenburg88 (E. falciformis).MMd_F0 (Sc-Sc)","z value:1.84, Pr(>|z|):0.79","z value:3.19, Pr(>|z|):0.06","","est:0.13, Std.Error:0.39","est:-0.96, Std.Error:0.3","est:-0.62, Std.Error:0.32","est:-1.16, Std.Error:0.36","est:-0.48, Std.Error:0.3","est:0.22, Std.Error:0.32","est:-0.96, Std.Error:0.39","est:-0.16, Std.Error:0.31","est:0.23, Std.Error:0.33"
"Brandenburg139 (E. ferrisi).MMd_F0 (St-St)","z value:2.02, Pr(>|z|):0.67","z value:3.24, Pr(>|z|):0.05","z value:0.32, Pr(>|z|):1","","est:-1.08, Std.Error:0.33","est:-0.75, Std.Error:0.35","est:-1.28, Std.Error:0.39","est:-0.61, Std.Error:0.33","est:0.09, Std.Error:0.35","est:-1.09, Std.Error:0.41","est:-0.28, Std.Error:0.34","est:0.11, Std.Error:0.36"
"Brandenburg64 (E. ferrisi).MMd_F0 (St-St)","z value:-1.18, Pr(>|z|):0.99","z value:0.01, Pr(>|z|):1","z value:-3.18, Pr(>|z|):0.06","z value:-3.24, Pr(>|z|):0.05","","est:0.33, Std.Error:0.25","est:-0.2, Std.Error:0.3","est:0.47, Std.Error:0.23","est:1.17, Std.Error:0.25","est:-0.01, Std.Error:0.33","est:0.8, Std.Error:0.24","est:1.19, Std.Error:0.26"
"Brandenburg88 (E. falciformis).MMd_F0 (St-St)","z value:0.01, Pr(>|z|):1","z value:1.34, Pr(>|z|):0.97","z value:-1.96, Pr(>|z|):0.71","z value:-2.13, Pr(>|z|):0.59","z value:1.33, Pr(>|z|):0.97","","est:-0.54, Std.Error:0.32","est:0.14, Std.Error:0.25","est:0.84, Std.Error:0.27","est:-0.34, Std.Error:0.35","est:0.46, Std.Error:0.26","est:0.86, Std.Error:0.28"
"Brandenburg139 (E. ferrisi).MMm_F0 (Bu-Bu)","z value:-1.56, Pr(>|z|):0.92","z value:-0.67, Pr(>|z|):1","z value:-3.23, Pr(>|z|):0.05","z value:-3.3, Pr(>|z|):0.04","z value:-0.67, Pr(>|z|):1","z value:-1.68, Pr(>|z|):0.87","","est:0.67, Std.Error:0.3","est:1.38, Std.Error:0.32","est:0.2, Std.Error:0.39","est:1, Std.Error:0.31","est:1.39, Std.Error:0.33"
"Brandenburg64 (E. ferrisi).MMm_F0 (Bu-Bu)","z value:0.51, Pr(>|z|):1","z value:2.09, Pr(>|z|):0.62","z value:-1.61, Pr(>|z|):0.9","z value:-1.82, Pr(>|z|):0.8","z value:2.08, Pr(>|z|):0.63","z value:0.56, Pr(>|z|):1","z value:2.25, Pr(>|z|):0.5","","est:0.7, Std.Error:0.25","est:-0.48, Std.Error:0.33","est:0.32, Std.Error:0.24","est:0.72, Std.Error:0.26"
"Brandenburg88 (E. falciformis).MMm_F0 (Bu-Bu)","z value:2.84, Pr(>|z|):0.15","z value:4.7, Pr(>|z|):< 0.001","z value:0.69, Pr(>|z|):1","z value:0.27, Pr(>|z|):1","z value:4.67, Pr(>|z|):< 0.001","z value:3.1, Pr(>|z|):0.08","z value:4.33, Pr(>|z|):< 0.01","z value:2.81, Pr(>|z|):0.17","","est:-1.18, Std.Error:0.35","est:-0.38, Std.Error:0.26","est:0.01, Std.Error:0.28"
"Brandenburg139 (E. ferrisi).MMm_F0 (Pw-Pw)","z value:-0.9, Pr(>|z|):1","z value:-0.01, Pr(>|z|):1","z value:-2.48, Pr(>|z|):0.34","z value:-2.62, Pr(>|z|):0.26","z value:-0.02, Pr(>|z|):1","z value:-0.97, Pr(>|z|):1","z value:0.51, Pr(>|z|):1","z value:-1.43, Pr(>|z|):0.96","z value:-3.36, Pr(>|z|):0.03","","est:0.8, Std.Error:0.34","est:1.19, Std.Error:0.36"
