"","Brandenburg139 (E. ferrisi).MMd_F0 (Sc-Sc)","Brandenburg64 (E. ferrisi).MMd_F0 (Sc-Sc)","Brandenburg88 (E. falciformis).MMd_F0 (Sc-Sc)","Brandenburg139 (E. ferrisi).MMd_F0 (St-St)","Brandenburg64 (E. ferrisi).MMd_F0 (St-St)","Brandenburg88 (E. falciformis).MMd_F0 (St-St)","Brandenburg139 (E. ferrisi).MMm_F0 (Bu-Bu)","Brandenburg64 (E. ferrisi).MMm_F0 (Bu-Bu)","Brandenburg88 (E. falciformis).MMm_F0 (Bu-Bu)","Brandenburg139 (E. ferrisi).MMm_F0 (Pw-Pw)","Brandenburg64 (E. ferrisi).MMm_F0 (Pw-Pw)","Brandenburg88 (E. falciformis).MMm_F0 (Pw-Pw)"
"Brandenburg139 (E. ferrisi).MMd_F0 (Sc-Sc)","","est:0.19, Std.Error:0.39","est:-0.34, Std.Error:0.47","est:0, Std.Error:0.51","est:0.06, Std.Error:0.39","est:0.57, Std.Error:0.42","est:-0.19, Std.Error:0.47","est:0.94, Std.Error:0.39","est:-1.04, Std.Error:0.58","est:-0.05, Std.Error:0.51","est:0.98, Std.Error:0.41","est:-1.11, Std.Error:0.51"
"Brandenburg64 (E. ferrisi).MMd_F0 (Sc-Sc)","z value:0.49, Pr(>|z|):1","","est:-0.53, Std.Error:0.39","est:-0.2, Std.Error:0.44","est:-0.13, Std.Error:0.3","est:0.38, Std.Error:0.33","est:-0.38, Std.Error:0.39","est:0.74, Std.Error:0.3","est:-1.24, Std.Error:0.52","est:-0.24, Std.Error:0.44","est:0.78, Std.Error:0.32","est:-1.31, Std.Error:0.44"
"Brandenburg88 (E. falciformis).MMd_F0 (Sc-Sc)","z value:-0.72, Pr(>|z|):1","z value:-1.35, Pr(>|z|):0.97","","est:0.34, Std.Error:0.51","est:0.4, Std.Error:0.39","est:0.91, Std.Error:0.42","est:0.15, Std.Error:0.47","est:1.28, Std.Error:0.39","est:-0.7, Std.Error:0.58","est:0.29, Std.Error:0.51","est:1.32, Std.Error:0.41","est:-0.77, Std.Error:0.51"
"Brandenburg139 (E. ferrisi).MMd_F0 (St-St)","z value:-0.01, Pr(>|z|):1","z value:-0.45, Pr(>|z|):1","z value:0.66, Pr(>|z|):1","","est:0.07, Std.Error:0.44","est:0.57, Std.Error:0.46","est:-0.19, Std.Error:0.51","est:0.94, Std.Error:0.44","est:-1.04, Std.Error:0.61","est:-0.04, Std.Error:0.54","est:0.98, Std.Error:0.45","est:-1.11, Std.Error:0.54"
"Brandenburg64 (E. ferrisi).MMd_F0 (St-St)","z value:0.16, Pr(>|z|):1","z value:-0.44, Pr(>|z|):1","z value:1.02, Pr(>|z|):1","z value:0.15, Pr(>|z|):1","","est:0.51, Std.Error:0.33","est:-0.25, Std.Error:0.39","est:0.88, Std.Error:0.3","est:-1.11, Std.Error:0.52","est:-0.11, Std.Error:0.44","est:0.91, Std.Error:0.32","est:-1.18, Std.Error:0.44"
"Brandenburg88 (E. falciformis).MMd_F0 (St-St)","z value:1.36, Pr(>|z|):0.97","z value:1.14, Pr(>|z|):0.99","z value:2.17, Pr(>|z|):0.55","z value:1.24, Pr(>|z|):0.98","z value:1.54, Pr(>|z|):0.92","","est:-0.76, Std.Error:0.42","est:0.37, Std.Error:0.33","est:-1.61, Std.Error:0.53","est:-0.61, Std.Error:0.46","est:0.41, Std.Error:0.35","est:-1.68, Std.Error:0.46"
"Brandenburg139 (E. ferrisi).MMm_F0 (Bu-Bu)","z value:-0.4, Pr(>|z|):1","z value:-0.97, Pr(>|z|):1","z value:0.32, Pr(>|z|):1","z value:-0.37, Pr(>|z|):1","z value:-0.64, Pr(>|z|):1","z value:-1.82, Pr(>|z|):0.8","","est:1.13, Std.Error:0.39","est:-0.85, Std.Error:0.58","est:0.14, Std.Error:0.51","est:1.17, Std.Error:0.41","est:-0.92, Std.Error:0.51"
"Brandenburg64 (E. ferrisi).MMm_F0 (Bu-Bu)","z value:2.38, Pr(>|z|):0.4","z value:2.5, Pr(>|z|):0.32","z value:3.24, Pr(>|z|):0.05","z value:2.15, Pr(>|z|):0.57","z value:2.93, Pr(>|z|):0.12","z value:1.12, Pr(>|z|):0.99","z value:2.86, Pr(>|z|):0.15","","est:-1.98, Std.Error:0.52","est:-0.98, Std.Error:0.44","est:0.04, Std.Error:0.32","est:-2.05, Std.Error:0.44"
"Brandenburg88 (E. falciformis).MMm_F0 (Bu-Bu)","z value:-1.81, Pr(>|z|):0.8","z value:-2.39, Pr(>|z|):0.39","z value:-1.22, Pr(>|z|):0.99","z value:-1.71, Pr(>|z|):0.85","z value:-2.14, Pr(>|z|):0.57","z value:-3.02, Pr(>|z|):0.1","z value:-1.48, Pr(>|z|):0.94","z value:-3.84, Pr(>|z|):< 0.01","","est:1, Std.Error:0.61","est:2.02, Std.Error:0.53","est:-0.07, Std.Error:0.61"
"Brandenburg139 (E. ferrisi).MMm_F0 (Pw-Pw)","z value:-0.09, Pr(>|z|):1","z value:-0.54, Pr(>|z|):1","z value:0.58, Pr(>|z|):1","z value:-0.08, Pr(>|z|):1","z value:-0.25, Pr(>|z|):1","z value:-1.33, Pr(>|z|):0.97","z value:0.28, Pr(>|z|):1","z value:-2.24, Pr(>|z|):0.5","z value:1.64, Pr(>|z|):0.89","","est:1.02, Std.Error:0.45","est:-1.07, Std.Error:0.54"
