"","Brandenburg139 (E. ferrisi).MMd_F0 (Sc-Sc)","Brandenburg64 (E. ferrisi).MMd_F0 (Sc-Sc)","Brandenburg88 (E. falciformis).MMd_F0 (Sc-Sc)","Brandenburg139 (E. ferrisi).MMd_F0 (St-St)","Brandenburg64 (E. ferrisi).MMd_F0 (St-St)","Brandenburg88 (E. falciformis).MMd_F0 (St-St)","Brandenburg139 (E. ferrisi).MMm_F0 (Bu-Bu)","Brandenburg64 (E. ferrisi).MMm_F0 (Bu-Bu)","Brandenburg88 (E. falciformis).MMm_F0 (Bu-Bu)","Brandenburg139 (E. ferrisi).MMm_F0 (Pw-Pw)","Brandenburg64 (E. ferrisi).MMm_F0 (Pw-Pw)","Brandenburg88 (E. falciformis).MMm_F0 (Pw-Pw)"
"Brandenburg139 (E. ferrisi).MMd_F0 (Sc-Sc)","","est:0.04, Std.Error:0.03","est:0.04, Std.Error:0.03","est:0.08, Std.Error:0.03","est:0.08, Std.Error:0.03","est:0.09, Std.Error:0.03","est:0.02, Std.Error:0.03","est:0.04, Std.Error:0.03","est:-0.02, Std.Error:0.05","est:0.05, Std.Error:0.03","est:0.06, Std.Error:0.03","est:-0.07, Std.Error:0.04"
"Brandenburg64 (E. ferrisi).MMd_F0 (Sc-Sc)","z value:1.55, Pr(>|z|):0.91","","est:0, Std.Error:0.03","est:0.04, Std.Error:0.03","est:0.03, Std.Error:0.02","est:0.05, Std.Error:0.03","est:-0.02, Std.Error:0.03","est:0, Std.Error:0.02","est:-0.07, Std.Error:0.04","est:0, Std.Error:0.03","est:0.02, Std.Error:0.02","est:-0.12, Std.Error:0.03"
"Brandenburg88 (E. falciformis).MMd_F0 (Sc-Sc)","z value:1.34, Pr(>|z|):0.97","z value:0.04, Pr(>|z|):1","","est:0.04, Std.Error:0.03","est:0.03, Std.Error:0.03","est:0.05, Std.Error:0.03","est:-0.02, Std.Error:0.03","est:0, Std.Error:0.03","est:-0.07, Std.Error:0.05","est:0, Std.Error:0.03","est:0.02, Std.Error:0.03","est:-0.12, Std.Error:0.04"
"Brandenburg139 (E. ferrisi).MMd_F0 (St-St)","z value:2.52, Pr(>|z|):0.32","z value:1.43, Pr(>|z|):0.95","z value:1.18, Pr(>|z|):0.99","","est:-0.01, Std.Error:0.03","est:0.01, Std.Error:0.03","est:-0.06, Std.Error:0.03","est:-0.04, Std.Error:0.03","est:-0.11, Std.Error:0.05","est:-0.04, Std.Error:0.03","est:-0.02, Std.Error:0.03","est:-0.16, Std.Error:0.04"
"Brandenburg64 (E. ferrisi).MMd_F0 (St-St)","z value:2.81, Pr(>|z|):0.18","z value:1.61, Pr(>|z|):0.89","z value:1.21, Pr(>|z|):0.99","z value:-0.21, Pr(>|z|):1","","est:0.02, Std.Error:0.03","est:-0.06, Std.Error:0.03","est:-0.04, Std.Error:0.02","est:-0.1, Std.Error:0.04","est:-0.03, Std.Error:0.03","est:-0.02, Std.Error:0.02","est:-0.15, Std.Error:0.03"
"Brandenburg88 (E. falciformis).MMd_F0 (St-St)","z value:2.93, Pr(>|z|):0.14","z value:1.89, Pr(>|z|):0.75","z value:1.54, Pr(>|z|):0.92","z value:0.32, Pr(>|z|):1","z value:0.6, Pr(>|z|):1","","est:-0.07, Std.Error:0.03","est:-0.05, Std.Error:0.03","est:-0.12, Std.Error:0.05","est:-0.05, Std.Error:0.03","est:-0.03, Std.Error:0.03","est:-0.17, Std.Error:0.04"
"Brandenburg139 (E. ferrisi).MMm_F0 (Bu-Bu)","z value:0.62, Pr(>|z|):1","z value:-0.82, Pr(>|z|):1","z value:-0.72, Pr(>|z|):1","z value:-1.91, Pr(>|z|):0.74","z value:-2.07, Pr(>|z|):0.63","z value:-2.29, Pr(>|z|):0.47","","est:0.02, Std.Error:0.03","est:-0.04, Std.Error:0.05","est:0.03, Std.Error:0.03","est:0.04, Std.Error:0.03","est:-0.09, Std.Error:0.04"
"Brandenburg64 (E. ferrisi).MMm_F0 (Bu-Bu)","z value:1.5, Pr(>|z|):0.93","z value:-0.06, Pr(>|z|):1","z value:-0.08, Pr(>|z|):1","z value:-1.48, Pr(>|z|):0.94","z value:-1.68, Pr(>|z|):0.86","z value:-1.94, Pr(>|z|):0.71","z value:0.77, Pr(>|z|):1","","est:-0.07, Std.Error:0.04","est:0, Std.Error:0.03","est:0.02, Std.Error:0.02","est:-0.11, Std.Error:0.03"
"Brandenburg88 (E. falciformis).MMm_F0 (Bu-Bu)","z value:-0.48, Pr(>|z|):1","z value:-1.52, Pr(>|z|):0.92","z value:-1.43, Pr(>|z|):0.95","z value:-2.26, Pr(>|z|):0.49","z value:-2.32, Pr(>|z|):0.45","z value:-2.53, Pr(>|z|):0.32","z value:-0.92, Pr(>|z|):1","z value:-1.49, Pr(>|z|):0.93","","est:0.07, Std.Error:0.05","est:0.08, Std.Error:0.04","est:-0.05, Std.Error:0.05"
"Brandenburg139 (E. ferrisi).MMm_F0 (Pw-Pw)","z value:1.39, Pr(>|z|):0.96","z value:0.09, Pr(>|z|):1","z value:0.05, Pr(>|z|):1","z value:-1.13, Pr(>|z|):0.99","z value:-1.15, Pr(>|z|):0.99","z value:-1.49, Pr(>|z|):0.93","z value:0.77, Pr(>|z|):1","z value:0.14, Pr(>|z|):1","z value:1.46, Pr(>|z|):0.94","","est:0.01, Std.Error:0.03","est:-0.12, Std.Error:0.04"
"Brandenburg64 (E. ferrisi).MMm_F0 (Pw-Pw)","z value:2.11, Pr(>|z|):0.6","z value:0.73, Pr(>|z|):1","z value:0.54, Pr(>|z|):1","z value:-0.84, Pr(>|z|):1","z value:-0.84, Pr(>|z|):1","z value:-1.26, Pr(>|z|):0.98","z value:1.38, Pr(>|z|):0.96","z value:0.79, Pr(>|z|):1","z value:1.89, Pr(>|z|):0.75","z value:0.48, Pr(>|z|):1","","est:-0.13, Std.Error:0.03"
"Brandenburg88 (E. falciformis).MMm_F0 (Pw-Pw)","z value:-1.93, Pr(>|z|):0.72","z value:-3.53, Pr(>|z|):0.03","z value:-3.13, Pr(>|z|):0.09","z value:-4.19, Pr(>|z|):< 0.01","z value:-4.62, Pr(>|z|):< 0.001","z value:-4.59, Pr(>|z|):< 0.001","z value:-2.48, Pr(>|z|):0.35","z value:-3.49, Pr(>|z|):0.03","z value:-0.98, Pr(>|z|):1","z value:-3.17, Pr(>|z|):0.08","z value:-4, Pr(>|z|):< 0.01",""
