"","Brandenburg139 (E. ferrisi).MMd_F0 (Sc-Sc)","Brandenburg64 (E. ferrisi).MMd_F0 (Sc-Sc)","Brandenburg88 (E. falciformis).MMd_F0 (Sc-Sc)","Brandenburg139 (E. ferrisi).MMd_F0 (St-St)","Brandenburg64 (E. ferrisi).MMd_F0 (St-St)","Brandenburg88 (E. falciformis).MMd_F0 (St-St)","Brandenburg139 (E. ferrisi).MMm_F0 (Bu-Bu)","Brandenburg64 (E. ferrisi).MMm_F0 (Bu-Bu)","Brandenburg88 (E. falciformis).MMm_F0 (Bu-Bu)","Brandenburg139 (E. ferrisi).MMm_F0 (Pw-Pw)","Brandenburg64 (E. ferrisi).MMm_F0 (Pw-Pw)","Brandenburg88 (E. falciformis).MMm_F0 (Pw-Pw)"
"Brandenburg139 (E. ferrisi).MMd_F0 (Sc-Sc)","","est:0.05, Std.Error:0.03","est:0.03, Std.Error:0.04","est:0.05, Std.Error:0.04","est:0.07, Std.Error:0.03","est:0.09, Std.Error:0.03","est:0.03, Std.Error:0.04","est:0.04, Std.Error:0.03","est:-0.01, Std.Error:0.05","est:0.08, Std.Error:0.04","est:0.06, Std.Error:0.03","est:-0.05, Std.Error:0.04"
"Brandenburg64 (E. ferrisi).MMd_F0 (Sc-Sc)","z value:1.64, Pr(>|z|):0.88","","est:-0.02, Std.Error:0.03","est:0, Std.Error:0.04","est:0.02, Std.Error:0.02","est:0.04, Std.Error:0.03","est:-0.03, Std.Error:0.03","est:-0.01, Std.Error:0.02","est:-0.06, Std.Error:0.04","est:0.02, Std.Error:0.04","est:0.01, Std.Error:0.03","est:-0.11, Std.Error:0.04"
"Brandenburg88 (E. falciformis).MMd_F0 (Sc-Sc)","z value:0.87, Pr(>|z|):1","z value:-0.6, Pr(>|z|):1","","est:0.02, Std.Error:0.04","est:0.04, Std.Error:0.03","est:0.06, Std.Error:0.03","est:-0.01, Std.Error:0.04","est:0, Std.Error:0.03","est:-0.04, Std.Error:0.05","est:0.04, Std.Error:0.04","est:0.03, Std.Error:0.03","est:-0.09, Std.Error:0.04"
"Brandenburg139 (E. ferrisi).MMd_F0 (St-St)","z value:1.3, Pr(>|z|):0.97","z value:0.04, Pr(>|z|):1","z value:0.49, Pr(>|z|):1","","est:0.02, Std.Error:0.04","est:0.04, Std.Error:0.04","est:-0.03, Std.Error:0.04","est:-0.02, Std.Error:0.04","est:-0.06, Std.Error:0.05","est:0.02, Std.Error:0.04","est:0.01, Std.Error:0.04","est:-0.11, Std.Error:0.04"
"Brandenburg64 (E. ferrisi).MMd_F0 (St-St)","z value:2.28, Pr(>|z|):0.48","z value:0.85, Pr(>|z|):1","z value:1.24, Pr(>|z|):0.98","z value:0.54, Pr(>|z|):1","","est:0.02, Std.Error:0.03","est:-0.05, Std.Error:0.03","est:-0.04, Std.Error:0.02","est:-0.08, Std.Error:0.04","est:0, Std.Error:0.04","est:-0.01, Std.Error:0.03","est:-0.13, Std.Error:0.04"
"Brandenburg88 (E. falciformis).MMd_F0 (St-St)","z value:2.77, Pr(>|z|):0.21","z value:1.56, Pr(>|z|):0.91","z value:1.79, Pr(>|z|):0.81","z value:1.08, Pr(>|z|):0.99","z value:0.79, Pr(>|z|):1","","est:-0.07, Std.Error:0.03","est:-0.06, Std.Error:0.03","est:-0.1, Std.Error:0.04","est:-0.02, Std.Error:0.04","est:-0.03, Std.Error:0.03","est:-0.15, Std.Error:0.04"
"Brandenburg139 (E. ferrisi).MMm_F0 (Bu-Bu)","z value:0.7, Pr(>|z|):1","z value:-0.8, Pr(>|z|):1","z value:-0.17, Pr(>|z|):1","z value:-0.65, Pr(>|z|):1","z value:-1.45, Pr(>|z|):0.94","z value:-1.98, Pr(>|z|):0.69","","est:0.01, Std.Error:0.03","est:-0.03, Std.Error:0.05","est:0.05, Std.Error:0.04","est:0.04, Std.Error:0.03","est:-0.08, Std.Error:0.04"
"Brandenburg64 (E. ferrisi).MMm_F0 (Bu-Bu)","z value:1.18, Pr(>|z|):0.99","z value:-0.61, Pr(>|z|):1","z value:0.14, Pr(>|z|):1","z value:-0.45, Pr(>|z|):1","z value:-1.46, Pr(>|z|):0.94","z value:-2.11, Pr(>|z|):0.6","z value:0.34, Pr(>|z|):1","","est:-0.04, Std.Error:0.04","est:0.04, Std.Error:0.04","est:0.03, Std.Error:0.03","est:-0.09, Std.Error:0.04"
"Brandenburg88 (E. falciformis).MMm_F0 (Bu-Bu)","z value:-0.14, Pr(>|z|):1","z value:-1.41, Pr(>|z|):0.95","z value:-0.85, Pr(>|z|):1","z value:-1.22, Pr(>|z|):0.98","z value:-1.9, Pr(>|z|):0.74","z value:-2.32, Pr(>|z|):0.46","z value:-0.71, Pr(>|z|):1","z value:-1.06, Pr(>|z|):0.99","","est:0.08, Std.Error:0.05","est:0.07, Std.Error:0.04","est:-0.05, Std.Error:0.05"
"Brandenburg139 (E. ferrisi).MMm_F0 (Pw-Pw)","z value:1.84, Pr(>|z|):0.78","z value:0.66, Pr(>|z|):1","z value:1.03, Pr(>|z|):1","z value:0.5, Pr(>|z|):1","z value:0.08, Pr(>|z|):1","z value:-0.48, Pr(>|z|):1","z value:1.19, Pr(>|z|):0.99","z value:1.07, Pr(>|z|):0.99","z value:1.67, Pr(>|z|):0.86","","est:-0.01, Std.Error:0.04","est:-0.13, Std.Error:0.04"
"Brandenburg64 (E. ferrisi).MMm_F0 (Pw-Pw)","z value:1.93, Pr(>|z|):0.72","z value:0.45, Pr(>|z|):1","z value:0.92, Pr(>|z|):1","z value:0.28, Pr(>|z|):1","z value:-0.36, Pr(>|z|):1","z value:-1.07, Pr(>|z|):0.99","z value:1.12, Pr(>|z|):0.99","z value:1.02, Pr(>|z|):1","z value:1.65, Pr(>|z|):0.87","z value:-0.33, Pr(>|z|):1","","est:-0.12, Std.Error:0.04"
"Brandenburg88 (E. falciformis).MMm_F0 (Pw-Pw)","z value:-1.31, Pr(>|z|):0.97","z value:-2.99, Pr(>|z|):0.13","z value:-2.12, Pr(>|z|):0.6","z value:-2.44, Pr(>|z|):0.38","z value:-3.57, Pr(>|z|):0.03","z value:-3.97, Pr(>|z|):< 0.01","z value:-1.96, Pr(>|z|):0.7","z value:-2.58, Pr(>|z|):0.3","z value:-0.96, Pr(>|z|):1","z value:-2.95, Pr(>|z|):0.14","z value:-3.22, Pr(>|z|):0.07",""
